40000,1,11,670,681,682,10,1155,1165,37,21,1825,1846,719
50000,1,10,855,865,865,11,1478,1489,45,21,2333,2354,911
60000,1,14,974,988,988,12,1664,1676,54,26,2638,2664,1043
70000,1,14,1132,1146,1147,18,1879,1897,65,32,3011,3043,1212
80000,1,16,1332,1348,1348,17,2300,2317,74,33,3632,3665,1422
90000,1,15,1499,1514,1514,18,2573,2591,82,33,4072,4105,1596
100000,1,19,1857,1876,1876,24,3144,3168,93,43,5001,5044,1970
110000,1,19,1859,1878,1879,26,3204,3230,105,45,5063,5108,1984
120000,1,22,2115,2137,2138,26,3638,3664,114,48,5753,5801,2253
130000,1,29,2261,2290,2291,27,3783,3810,120,56,6044,6100,2412
40000,2,1,220,221,221,0,215,215,4,1,435,436,226
50000,2,2,243,245,246,0,251,251,4,2,494,496,251
60000,2,2,288,290,290,0,294,294,5,2,582,584,296
70000,2,1,335,336,337,0,337,337,7,1,672,673,344
80000,2,3,424,427,428,1,471,472,7,4,895,899,436
90000,2,2,466,468,468,0,527,527,8,2,993,995,477
100000,2,2,528,530,530,0,591,591,9,2,1119,1121,540
110000,2,2,577,579,580,1,648,649,10,3,1225,1228,591
120000,2,5,671,676,676,1,780,781,12,6,1451,1457,689
130000,2,4,679,683,683,1,758,759,13,5,1437,1442,696
40000,3,4,595,599,600,6,1062,1068,35,10,1657,1667,636
50000,3,5,714,719,720,7,1247,1254,45,12,1961,1973,766
60000,3,5,925,930,930,9,1693,1702,53,14,2618,2632,984
70000,3,7,1044,1051,1052,11,1892,1903,62,18,2936,2954,1115
80000,3,7,1180,1187,1187,13,2043,2056,71,20,3223,3243,1259
90000,3,10,1281,1291,1291,14,2315,2329,80,24,3596,3620,1371
100000,3,11,1453,1464,1464,15,2632,2647,90,26,4085,4111,1554
110000,3,9,1636,1645,1645,15,2847,2862,99,24,4483,4507,1745
120000,3,13,1692,1705,1705,19,2942,2961,106,32,4634,4666,1812
130000,3,13,1906,1919,1920,19,3385,3404,116,32,5291,5323,2037
40000,4,1,217,218,219,0,235,235,4,1,452,453,223
50000,4,3,246,249,250,0,242,242,5,3,488,491,255
60000,4,2,281,283,283,0,280,280,6,2,561,563,289
70000,4,4,346,350,350,0,356,356,6,4,702,706,357
80000,4,4,382,386,386,0,397,397,8,4,779,783,395
90000,4,4,470,474,475,0,489,489,9,4,959,963,484
100000,4,4,481,485,485,1,491,492,10,5,972,977,496
110000,4,6,527,533,534,0,539,539,11,6,1066,1072,545
120000,4,6,578,584,585,1,586,587,12,7,1164,1171,597
130000,4,6,614,620,621,1,622,623,12,7,1236,1243,634
111,4,0,1,1,1,0,0,0,0,0,1,1,1
111,3,0,2,2,2,0,3,3,0,0,5,5,2
111,1,0,2,2,2,0,4,4,0,0,6,6,2
111,2,0,0,0,0,0,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,0,0,0,0,0,0
111,2,0,0,0,0,0,0,0,0,0,0,0,0
111,1,0,2,2,2,0,3,3,0,0,5,5,2
111,4,0,0,0,0,0,0,0,0,0,0,0,0
111,3,0,2,2,2,0,3,3,0,0,5,5,2
11111,3,2,191,193,193,2,328,330,10,4,519,523,203
11111,3,1,171,172,172,2,276,278,9,3,447,450,182
11111,3,1,167,168,168,1,286,287,10,2,453,455,178
